ParticipantID,ParticipantSex,ParticipantAge,PITCH_MANIPULATION,VOICE_NUMBER,HEALTH_F0,DISEASE_LIKELIHOOD_F0,ILLNESS_FREQUENCY_F0,ILLNESS_SEVERITY_F0,PD_F0,SD_F0
1,0,24,1,1,3,4,2,7,8,8
1,0,24,1,2,3,7,7,7,7,7
1,0,24,1,3,5,3,2,8,8,7
1,0,24,1,4,6,6,3,8,8,8
1,0,24,2,5,3,7,6,4,5,4
1,0,24,2,6,1,8,7,2,2,5
1,0,24,2,7,3,3,6,7,4,5
1,0,24,2,8,4,6,5,6,6,5
4,0,30,1,1,1,4,4,9,4,2
4,0,30,1,2,6,7,7,7,5,7
4,0,30,1,3,6,2,3,3,2,6
4,0,30,1,4,3,3,2,4,8,7
4,0,30,2,5,1,3,9,8,5,6
4,0,30,2,6,2,5,6,9,5,3
4,0,30,2,7,5,7,3,2,5,6
4,0,30,2,8,3,2,6,1,6,3
6,0,34,1,1,5,5,3,6,6,7
6,0,34,1,2,5,5,4,6,3,5
6,0,34,1,3,6,3,5,5,6,6
6,0,34,1,4,7,4,2,7,7,7
6,0,34,2,5,5,5,5,5,3,4
6,0,34,2,6,3,7,5,3,2,5
6,0,34,2,7,4,3,4,5,4,6
6,0,34,2,8,5,3,5,6,5,6
8,0,26,1,1,8,8,6,3,7,7
8,0,26,1,2,8,7,6,3,8,7
8,0,26,1,3,9,9,6,1,9,9
8,0,26,1,4,7,8,8,3,9,9
8,0,26,2,5,9,5,5,3,6,6
8,0,26,2,6,7,7,7,7,6,5
8,0,26,2,7,9,8,8,2,8,9
8,0,26,2,8,8,7,6,2,8,6
9,0,36,1,1,7,1,5,8,6,3
9,0,36,1,2,7,1,5,8,4,2
9,0,36,1,3,7,1,5,9,6,5
9,0,36,1,4,7,1,5,8,5,4
9,0,36,2,5,7,1,5,9,5,3
9,0,36,2,6,7,1,5,8, ,4
9,0,36,2,7,7,1,5,8,4,5
9,0,36,2,8,7,1,5,9,4,4
11,0,28,1,1,6,3,3,7,6,7
11,0,28,1,2,8,4,4,6,4,5
11,0,28,1,3,8,5,2,7,9,7
11,0,28,1,4,6,8,2,8,9,6
11,0,28,2,5,7,6,3,5,5,5
11,0,28,2,6,6,6,5,4,2,1
11,0,28,2,7,7,4,3,5,7,7
11,0,28,2,8,7,4,3,6,6,6
13,0,27,1,1,9,7,8,9,9,9
13,0,27,1,2,9,5,6,9,5,3
13,0,27,1,3,9,7,9,8,8,7
13,0,27,1,4,9,7,8,6,8,8
13,0,27,2,5,8,7,9,8,9,4
13,0,27,2,6,8,9,9,8,1,2
13,0,27,2,7,7,8,8,3,9,2
13,0,27,2,8,8,7,7,8,8,9
15,0,26,1,1,3,8,7,1,6,4
15,0,26,1,2,2,6,8,4,6,3
15,0,26,1,3,3,4,3,7,7,7
15,0,26,1,4,3,3,5,5,7,7
15,0,26,2,5,4,6,5,3,6,2
15,0,26,2,6,1,9,7,3,3,2
15,0,26,2,7,5,5,3,7,4,6
15,0,26,2,8,6,5,5,5,5,6
19,0,32,1,1,4,5,4,6,8,6
19,0,32,1,2,4,8,5,2,4,3
19,0,32,1,3,5,1,4,7,8,9
19,0,32,1,4,8,3,2,5,7,7
19,0,32,2,5,6,5,8,8,7,5
19,0,32,2,6,2,9,9,2,2,2
19,0,32,2,7,8,8,3,5,5,6
19,0,32,2,8,7,6,3,6,3,7
24,0,34,1,1,1,8,6,1,8,6
24,0,34,1,2,9,2,6,4,7,7
24,0,34,1,3,4,4,6,3,8,9
24,0,34,1,4,2,8,4,2,8,7
24,0,34,2,5,4,9,6,6,4,3
24,0,34,2,6,4,5,7,6,5,4
24,0,34,2,7,4,4,6,4,6,8
24,0,34,2,8,4,3,8,2,8,4
25,0,33,1,1,4,2,4,7,6,5
25,0,33,1,2,4,7,6,5,4,3
25,0,33,1,3,8,5,2,6,8,9
25,0,33,1,4,3,3,3,3,7,8
25,0,33,2,5,6,4,6,5,5,3
25,0,33,2,6,2,7,5,6,2,3
25,0,33,2,7,5,2,3,7,3,8
25,0,33,2,8,8,3,3,4,7,8
27,0,21,1,1,3,7,7,3,8,7
27,0,21,1,2,6,5,6,6,6,8
27,0,21,1,3,7,6,2,7,6,5
27,0,21,1,4,8,4,4,6,7,7
27,0,21,2,5,4,3,2,5,2,3
27,0,21,2,6,6,8,6,7,1,1
27,0,21,2,7,6,3,4,3,7,8
27,0,21,2,8,4,3,6,8,4,7
28,0,35,1,1,5,3,7,5,2,4
28,0,35,1,2,3,9,4,5,2,3
28,0,35,1,3,2,2,3,5,3,9
28,0,35,1,4,7,5,2,3,2,4
28,0,35,2,5,7,1,3,5,7,3
28,0,35,2,6,7,8,2,7,6,4
28,0,35,2,7,4,5,4,7,3,2
28,0,35,2,8,2,4,4,6,5,4
33,0,28,1,1,4,6,3,7,8,7
33,0,28,1,2,6,2,2,4,6,8
33,0,28,1,3,7,2,2,8,6,8
33,0,28,1,4,7,4,2,6,6,6
33,0,28,2,5,7,6,6,4,6,7
33,0,28,2,6,2,4,6,4,3,5
33,0,28,2,7,6,8,5,3,6,7
33,0,28,2,8,6,5,3,6,7,6
35,0,28,1,1,6,9,7,4,7,8
35,0,28,1,2,8,6,6,4,8,7
35,0,28,1,3,8,4,8,3,7,6
35,0,28,1,4,6,8,7,3,6,5
35,0,28,2,5,8,7,7,3,7,5
35,0,28,2,6,7,7,8,2,6,5
35,0,28,2,7,7,6,7,2,8,7
35,0,28,2,8,7,7,5,2,8,6
38,0,38,1,1,4,3,7,2,4,3
38,0,38,1,2,3,8,9,3,2,2
38,0,38,1,3,9,2,1,8,6,8
38,0,38,1,4,8,3,2,7,8,8
38,0,38,2,5,5,8,8,3,1,2
38,0,38,2,6,2,8,9,8,2,1
38,0,38,2,7,7,2,2,4,7,7
38,0,38,2,8,9,1,3,9,8,8
42,0,29,1,1,8,7,4,4,6,4
42,0,29,1,2,5,8,7,5,3,3
42,0,29,1,3,8,3,2,3,7,9
42,0,29,1,4,8,2,3,2,8,8
42,0,29,2,5,6,6,2,5,2,7
42,0,29,2,6,3,7,7,3,2,1
42,0,29,2,7,6,5,5,6,7,8
42,0,29,2,8,9,5,4,1,8,9
44,0,38,1,1,4,7,5,1,2,7
44,0,38,1,2,3,7,8,1,2,7
44,0,38,1,3,9,2,2,4,9,8
44,0,38,1,4,7,5,2,5,9,7
44,0,38,2,5,4,8,3,8,1,2
44,0,38,2,6,4,8,9,1,1,2
44,0,38,2,7,9,3,2,8,9,7
44,0,38,2,8,7,4,7,6,3,7
45,0,47,1,1,4,5,7,3,4,4
45,0,47,1,2,3,6,5,4,1,3
45,0,47,1,3,7,3,5,6,6,8
45,0,47,1,4,7,4,4,5,6,7
45,0,47,2,5,5,5,5,5,4,3
45,0,47,2,6,3,6,5,3,1,1
45,0,47,2,7,6,4,4,6,4,6
45,0,47,2,8,5,4,4,6,5,5
46,0,27,1,1,7,4,6,6,6,6
46,0,27,1,2,6,3,4,6,6,5
46,0,27,1,3,7,2,2,7,7,7
46,0,27,1,4,8,3,3,4,5,5
46,0,27,2,5,3,5,6,4,5,6
46,0,27,2,6,4,6,6,7,2,2
46,0,27,2,7,7,2,2,5,6,5
46,0,27,2,8,6,3,5,3,4,4
48,0,23,1,1,6,3,5,7,5,3
48,0,23,1,2,8,3,3,7,3,7
48,0,23,1,3,9,1,2,7,7,5
48,0,23,1,4,3,5,6,9,6,6
48,0,23,2,5,4,6,2,2,6,6
48,0,23,2,6,8,1,3,6,3,7
48,0,23,2,7,6,6,5,3,6,3
48,0,23,2,8,5,2,2,5,4,4
49,0,30,1,1,7,7,1,9,9,9
49,0,30,1,2,8,3,1,9,9,9
49,0,30,1,3,8,6,1,9,9,9
49,0,30,1,4,8,7,1,9,9,9
49,0,30,2,5,1,4,1,1,1,1
49,0,30,2,6,3,6,1,1,1,3
49,0,30,2,7,8,8,1,9,9,9
49,0,30,2,8,8,7,1,1,9,7
51,0,30,1,1,5,4,7,6,6,7
51,0,30,1,2,7,5,5,5,6,6
51,0,30,1,3,6,5,6,6,6,4
51,0,30,1,4,6,4,7,4,5,6
51,0,30,2,5,6,4,6,7,6,5
51,0,30,2,6,3,5,5,5,3,6
51,0,30,2,7,5,3,5,5,3,3
51,0,30,2,8,4,5,6,5,6,4
52,0,44,1,1,4,2,2,4,4,5
52,0,44,1,2,6,1,4,9,2,4
52,0,44,1,3,8,1,1,8,8,9
52,0,44,1,4,4,9,4,7,8,7
52,0,44,2,5,7,5,3,6,5,4
52,0,44,2,6,6,8,2,5,3,2
